date,value,value
2024-09-01,158314.0,value
2024-09-02,158315.46666666667,value
2024-09-03,158316.93333333332,value
2024-09-04,158318.4,value
2024-09-05,158319.86666666667,value
2024-09-06,158321.33333333334,value
2024-09-07,158322.8,value
2024-09-08,158324.26666666666,value
2024-09-09,158325.73333333334,value
2024-09-10,158327.2,value
2024-09-11,158328.66666666666,value
2024-09-12,158330.13333333333,value
2024-09-13,158331.6,value
2024-09-14,158333.06666666668,value
2024-09-15,158334.53333333333,value
2024-09-16,158336.0,value
2024-09-17,158337.46666666667,value
2024-09-18,158338.93333333332,value
2024-09-19,158340.4,value
2024-09-20,158341.86666666667,value
2024-09-21,158343.33333333334,value
2024-09-22,158344.8,value
2024-09-23,158346.26666666666,value
2024-09-24,158347.73333333334,value
2024-09-25,158349.2,value
2024-09-26,158350.66666666666,value
2024-09-27,158352.13333333333,value
2024-09-28,158353.6,value
2024-09-29,158355.06666666668,value
2024-09-30,158356.53333333333,value
2024-10-01,158358.0,value
2024-10-02,158366.4193548387,value
2024-10-03,158374.83870967742,value
2024-10-04,158383.25806451612,value
2024-10-05,158391.67741935485,value
2024-10-06,158400.09677419355,value
2024-10-07,158408.51612903227,value
2024-10-08,158416.93548387097,value
2024-10-09,158425.35483870967,value
2024-10-10,158433.7741935484,value
2024-10-11,158442.1935483871,value
2024-10-12,158450.61290322582,value
2024-10-13,158459.03225806452,value
2024-10-14,158467.4516129032,value
2024-10-15,158475.87096774194,value
2024-10-16,158484.29032258064,value
2024-10-17,158492.70967741936,value
2024-10-18,158501.12903225806,value
2024-10-19,158509.5483870968,value
2024-10-20,158517.96774193548,value
2024-10-21,158526.38709677418,value
2024-10-22,158534.8064516129,value
2024-10-23,158543.2258064516,value
2024-10-24,158551.64516129033,value
2024-10-25,158560.06451612903,value
2024-10-26,158568.48387096773,value
2024-10-27,158576.90322580645,value
2024-10-28,158585.32258064515,value
2024-10-29,158593.74193548388,value
2024-10-30,158602.16129032258,value
2024-10-31,158610.5806451613,value
2024-11-01,158619.0,value
2024-11-02,158629.76666666666,value
2024-11-03,158640.53333333333,value
2024-11-04,158651.3,value
2024-11-05,158662.06666666668,value
2024-11-06,158672.83333333334,value
2024-11-07,158683.6,value
2024-11-08,158694.36666666667,value
2024-11-09,158705.13333333333,value
2024-11-10,158715.9,value
2024-11-11,158726.66666666666,value
2024-11-12,158737.43333333332,value
2024-11-13,158748.2,value
2024-11-14,158758.96666666667,value
2024-11-15,158769.73333333334,value
2024-11-16,158780.5,value
2024-11-17,158791.26666666666,value
2024-11-18,158802.03333333333,value
2024-11-19,158812.8,value
2024-11-20,158823.56666666668,value
2024-11-21,158834.33333333334,value
2024-11-22,158845.1,value
2024-11-23,158855.86666666667,value
2024-11-24,158866.63333333333,value
2024-11-25,158877.4,value
2024-11-26,158888.16666666666,value
2024-11-27,158898.93333333332,value
2024-11-28,158909.7,value
2024-11-29,158920.46666666667,value
2024-11-30,158931.23333333334,value
2024-12-01,158942.0,value
2024-12-02,158945.5806451613,value
2024-12-03,158949.16129032258,value
2024-12-04,158952.74193548388,value
2024-12-05,158956.32258064515,value
2024-12-06,158959.90322580645,value
2024-12-07,158963.48387096773,value
2024-12-08,158967.06451612903,value
2024-12-09,158970.64516129033,value
2024-12-10,158974.2258064516,value
2024-12-11,158977.8064516129,value
2024-12-12,158981.38709677418,value
2024-12-13,158984.96774193548,value
2024-12-14,158988.5483870968,value
2024-12-15,158992.12903225806,value
2024-12-16,158995.70967741936,value
2024-12-17,158999.29032258064,value
2024-12-18,159002.87096774194,value
2024-12-19,159006.4516129032,value
2024-12-20,159010.03225806452,value
2024-12-21,159013.61290322582,value
2024-12-22,159017.1935483871,value
2024-12-23,159020.7741935484,value
2024-12-24,159024.35483870967,value
2024-12-25,159027.93548387097,value
2024-12-26,159031.51612903227,value
2024-12-27,159035.09677419355,value
2024-12-28,159038.67741935485,value
2024-12-29,159042.25806451612,value
2024-12-30,159045.83870967742,value
2024-12-31,159049.4193548387,value
2025-01-01,159053.0,value
2025-01-02,159056.29032258064,value
2025-01-03,159059.5806451613,value
2025-01-04,159062.87096774194,value
2025-01-05,159066.16129032258,value
2025-01-06,159069.4516129032,value
2025-01-07,159072.74193548388,value
2025-01-08,159076.03225806452,value
2025-01-09,159079.32258064515,value
2025-01-10,159082.61290322582,value
2025-01-11,159085.90322580645,value
2025-01-12,159089.1935483871,value
2025-01-13,159092.48387096773,value
2025-01-14,159095.7741935484,value
2025-01-15,159099.06451612903,value
2025-01-16,159102.35483870967,value
2025-01-17,159105.64516129033,value
2025-01-18,159108.93548387097,value
2025-01-19,159112.2258064516,value
2025-01-20,159115.51612903227,value
2025-01-21,159118.8064516129,value
2025-01-22,159122.09677419355,value
2025-01-23,159125.38709677418,value
2025-01-24,159128.67741935485,value
2025-01-25,159131.96774193548,value
2025-01-26,159135.25806451612,value
2025-01-27,159138.5483870968,value
2025-01-28,159141.83870967742,value
2025-01-29,159145.12903225806,value
2025-01-30,159148.4193548387,value
2025-01-31,159151.70967741936,value
2025-02-01,159155.0,value
2025-02-02,159159.2857142857,value
2025-02-03,159163.57142857142,value
2025-02-04,159167.85714285713,value
2025-02-05,159172.14285714287,value
2025-02-06,159176.42857142858,value
2025-02-07,159180.7142857143,value
2025-02-08,159185.0,value
2025-02-09,159189.2857142857,value
2025-02-10,159193.57142857142,value
2025-02-11,159197.85714285713,value
2025-02-12,159202.14285714287,value
2025-02-13,159206.42857142858,value
2025-02-14,159210.7142857143,value
2025-02-15,159215.0,value
2025-02-16,159219.2857142857,value
2025-02-17,159223.57142857142,value
2025-02-18,159227.85714285713,value
2025-02-19,159232.14285714287,value
2025-02-20,159236.42857142858,value
2025-02-21,159240.7142857143,value
2025-02-22,159245.0,value
2025-02-23,159249.2857142857,value
2025-02-24,159253.57142857142,value
2025-02-25,159257.85714285713,value
2025-02-26,159262.14285714287,value
2025-02-27,159266.42857142858,value
2025-02-28,159270.7142857143,value
2025-03-01,159275.0,value
2025-03-02,159280.09677419355,value
2025-03-03,159285.1935483871,value
2025-03-04,159290.29032258064,value
2025-03-05,159295.38709677418,value
2025-03-06,159300.48387096773,value
2025-03-07,159305.5806451613,value
2025-03-08,159310.67741935485,value
2025-03-09,159315.7741935484,value
2025-03-10,159320.87096774194,value
2025-03-11,159325.96774193548,value
2025-03-12,159331.06451612903,value
2025-03-13,159336.16129032258,value
2025-03-14,159341.25806451612,value
2025-03-15,159346.35483870967,value
2025-03-16,159351.4516129032,value
2025-03-17,159356.5483870968,value
2025-03-18,159361.64516129033,value
2025-03-19,159366.74193548388,value
2025-03-20,159371.83870967742,value
2025-03-21,159376.93548387097,value
2025-03-22,159382.03225806452,value
2025-03-23,159387.12903225806,value
2025-03-24,159392.2258064516,value
2025-03-25,159397.32258064515,value
2025-03-26,159402.4193548387,value
2025-03-27,159407.51612903227,value
2025-03-28,159412.61290322582,value
2025-03-29,159417.70967741936,value
2025-03-30,159422.8064516129,value
2025-03-31,159427.90322580645,value
2025-04-01,159433.0,value
2025-04-02,159433.63333333333,value
2025-04-03,159434.26666666666,value
2025-04-04,159434.9,value
2025-04-05,159435.53333333333,value
2025-04-06,159436.16666666666,value
2025-04-07,159436.8,value
2025-04-08,159437.43333333332,value
2025-04-09,159438.06666666668,value
2025-04-10,159438.7,value
2025-04-11,159439.33333333334,value
2025-04-12,159439.96666666667,value
2025-04-13,159440.6,value
2025-04-14,159441.23333333334,value
2025-04-15,159441.86666666667,value
2025-04-16,159442.5,value
2025-04-17,159443.13333333333,value
2025-04-18,159443.76666666666,value
2025-04-19,159444.4,value
2025-04-20,159445.03333333333,value
2025-04-21,159445.66666666666,value
2025-04-22,159446.3,value
2025-04-23,159446.93333333332,value
2025-04-24,159447.56666666668,value
2025-04-25,159448.2,value
2025-04-26,159448.83333333334,value
2025-04-27,159449.46666666667,value
2025-04-28,159450.1,value
2025-04-29,159450.73333333334,value
2025-04-30,159451.36666666667,value
2025-05-01,159452.0,value
2025-05-02,159451.5806451613,value
2025-05-03,159451.16129032258,value
2025-05-04,159450.74193548388,value
2025-05-05,159450.32258064515,value
2025-05-06,159449.90322580645,value
2025-05-07,159449.48387096773,value
2025-05-08,159449.06451612903,value
2025-05-09,159448.64516129033,value
2025-05-10,159448.2258064516,value
2025-05-11,159447.8064516129,value
2025-05-12,159447.38709677418,value
2025-05-13,159446.96774193548,value
2025-05-14,159446.5483870968,value
2025-05-15,159446.12903225806,value
2025-05-16,159445.70967741936,value
2025-05-17,159445.29032258064,value
2025-05-18,159444.87096774194,value
2025-05-19,159444.4516129032,value
2025-05-20,159444.03225806452,value
2025-05-21,159443.61290322582,value
2025-05-22,159443.1935483871,value
2025-05-23,159442.7741935484,value
2025-05-24,159442.35483870967,value
2025-05-25,159441.93548387097,value
2025-05-26,159441.51612903227,value
2025-05-27,159441.09677419355,value
2025-05-28,159440.67741935485,value
2025-05-29,159440.25806451612,value
2025-05-30,159439.83870967742,value
2025-05-31,159439.4193548387,value
2025-06-01,159439.0,value
2025-06-02,159441.63333333333,value
2025-06-03,159444.26666666666,value
2025-06-04,159446.9,value
2025-06-05,159449.53333333333,value
2025-06-06,159452.16666666666,value
2025-06-07,159454.8,value
2025-06-08,159457.43333333332,value
2025-06-09,159460.06666666668,value
2025-06-10,159462.7,value
2025-06-11,159465.33333333334,value
2025-06-12,159467.96666666667,value
2025-06-13,159470.6,value
2025-06-14,159473.23333333334,value
2025-06-15,159475.86666666667,value
2025-06-16,159478.5,value
2025-06-17,159481.13333333333,value
2025-06-18,159483.76666666666,value
2025-06-19,159486.4,value
2025-06-20,159489.03333333333,value
2025-06-21,159491.66666666666,value
2025-06-22,159494.3,value
2025-06-23,159496.93333333332,value
2025-06-24,159499.56666666668,value
2025-06-25,159502.2,value
2025-06-26,159504.83333333334,value
2025-06-27,159507.46666666667,value
2025-06-28,159510.1,value
2025-06-29,159512.73333333334,value
2025-06-30,159515.36666666667,value
2025-07-01,159518.0,value
2025-07-02,159518.70967741936,value
2025-07-03,159519.4193548387,value
2025-07-04,159520.12903225806,value
2025-07-05,159520.83870967742,value
2025-07-06,159521.5483870968,value
2025-07-07,159522.25806451612,value
2025-07-08,159522.96774193548,value
2025-07-09,159523.67741935485,value
2025-07-10,159524.38709677418,value
2025-07-11,159525.09677419355,value
2025-07-12,159525.8064516129,value
2025-07-13,159526.51612903227,value
2025-07-14,159527.2258064516,value
2025-07-15,159527.93548387097,value
2025-07-16,159528.64516129033,value
2025-07-17,159529.35483870967,value
2025-07-18,159530.06451612903,value
2025-07-19,159530.7741935484,value
2025-07-20,159531.48387096773,value
2025-07-21,159532.1935483871,value
2025-07-22,159532.90322580645,value
2025-07-23,159533.61290322582,value
2025-07-24,159534.32258064515,value
2025-07-25,159535.03225806452,value
2025-07-26,159535.74193548388,value
2025-07-27,159536.4516129032,value
2025-07-28,159537.16129032258,value
2025-07-29,159537.87096774194,value
2025-07-30,159538.5806451613,value
2025-07-31,159539.29032258064,value
2025-08-01,159540.0,value
